STATION_ID,STATION_Name,STATION_PRO,STATION_TYPE,STATION_LNG,STATION_LAT,DATA_FROM_SOURCE
G0092330010020,萧山收费站,zhejiang,RAMP_PLAZA,120.290363,30.242838,0
G9211330010040,富翅收费站,zhejiang,RAMP_PLAZA,121.976045,30.092759,0
G0060330020030,临浦收费站,zhejiang,RAMP_PLAZA,120.266333,30.054546,0
S0004330010020,杭州萧山(国际|)机场收费站,zhejiang,RAMP_PLAZA,120.390438,30.215822,0
G0015330100130,杜桥收费站,zhejiang,RAMP_PLAZA,121.471419,28.732068,0
G0025330040140,桥头收费站,zhejiang,RAMP_PLAZA,120.486225,28.147282,0
G0050330010060,林城收费站,zhejiang,RAMP_PLAZA,119.775056,30.941077,0
G015W330010060,王江泾主线收费站,zhejiang,PROVINCE_STATION_INDEPENDENT,120.671342,30.864333,0
G0025330040020,武义收费站,zhejiang,RAMP_PLAZA,119.832604,28.938179,0
S0033330010010,龙游北收费站,zhejiang,MAIN_LINE_PLAZA,119.149606,29.139299,0
G0025330030100,北界收费站,zhejiang,RAMP_PLAZA,119.233494,28.749218,0
G0025330020150,杨村桥收费站,zhejiang,RAMP_PLAZA,119.440597,29.566819,0
