ID,STATION_NAME,PROVINCE,slng,slat,statName交易,statName地图,经度差,纬度差,provName,id,statName,lng_x,lat_x,prov,Name,Province,lng_y,lat_y
G4512230020010,富裕,heilongjiang,124.48188400000001,47.758691999999996,富裕,富裕收费站,0.009454,0.000288,heilongjiang,2110020503.0,富裕,124.47243,47.75898,heilongjiang,富裕收费站,HEI_LONG_JIANG,124.47244599999999,47.758827000000004
G8011530010030,开远,yunnan,103.28595,23.715723,开远,开远收费站,0.00364,0.005683,yunnan,2110052565.0,开远,103.28959,23.71004,yunnan,开远收费站,YUN_NAN,103.289452,23.710007
G0001130010050,秦皇岛东,hebei,119.628855,40.004391999999996,秦皇岛东,秦皇岛东收费站,0.005755,0.006731999999999999,hebei,2110019382.0,秦皇岛东,119.6231,39.997659999999996,hebei,秦皇岛东收费站,HE_BEI,119.622969,39.997538
S0008510020050,百丈湖,sichuan,,,百丈湖,百丈湖收费站,,,sichuan,2110034504.0,百丈湖,103.19331,30.1611,sichuan,百丈湖收费站,SI_CHUAN,103.193423,30.161105
G0004440030120,道滘北,guangdong,113.67682099999999,23.013739,道滘北,,,,guangdong,,,,,,道滘北收费站,GUANG_DONG,113.68491999999999,23.012547
S0015440010030,罗城,guangdong,113.13215600000001,23.127985,罗城,,,,guangdong,,,,,,罗城收费站,GUANG_DONG,113.137583,23.125491
S0017440010010,锡场,guangdong,116.30895600000001,23.609070000000003,锡场,锡场收费站,0.000606,5.9999999999999995e-05,guangdong,2110038560.0,锡场,116.30835,23.60913,guangdong,锡场收费站,GUANG_DONG,116.308241,23.609202
S0060410050010,中华路,henan,,,中华路,,,,henan,,,,,,中华路收费站,HE_NAN,113.75116499999999,34.594509
S0038410030030,竹沟,henan,,,竹沟,竹沟收费站,,,henan,2110022931.0,竹沟,113.74841,32.79242,henan,竹沟收费站,HE_NAN,113.748442,32.7924
S0049410070030,舞钢,henan,,,舞钢,舞钢收费站,,,henan,2110022626.0,舞钢,113.44158999999999,33.34173,henan,舞钢收费站,HE_NAN,113.441767,33.341739000000004
G2011370030010,郭庄,shandong,,,郭庄,郭庄收费站,,,shandong,2110009281.0,郭庄,120.10175,36.60816,shandong,郭庄收费站,SHAN_DONG,120.101735,36.608264
G0035440020180,小金口主,guangdong,114.382062,23.203737,小金口主,,,,guangdong,,,,,,小金口主收费站,GUANG_DONG,114.38685,23.201124
S0048320010040,阳澄湖北,jiangsu,120.82821799999999,31.498053000000002,阳澄湖北,阳澄湖北收费站,0.006478,0.006213000000000001,jiangsu,2110028511.0,阳澄湖北,120.82173999999999,31.491840000000003,jiangsu,阳澄湖北收费站,JIANG_SU,120.821727,31.491853999999996
G04W2430020010,铜官,hunan,,,铜官,铜官收费站,,,hunan,2110046886.0,铜官,112.8412,28.451490000000003,hunan,铜官收费站,HU_NAN,112.841587,28.451456
G0076430010040,岭秀,hunan,,,岭秀,,,,hunan,,,,,,岭秀收费站,HU_NAN,113.457168,25.522486999999998
G0080530010050,竹园,yunnan,103.420974,24.136286,竹园,竹园收费站,0.004576,0.005306,yunnan,2110042482.0,竹园,103.42555,24.130979999999997,yunnan,竹园收费站,YUN_NAN,103.42533900000001,24.130837
G8511530010090,牛恋乡,yunnan,102.68390600000001,24.685273000000002,牛恋乡,,,,yunnan,,,,,,牛恋收费站,YUN_NAN,102.686755,24.679578
G0078530030070,宜良,yunnan,103.148384,24.933656,宜良,宜良收费站,0.003696,0.002456,yunnan,2110015642.0,宜良,103.15208,24.9312,yunnan,宜良收费站,YUN_NAN,103.152349,24.931864
S0400530010030,李其边道,yunnan,102.886963,25.070624,李其边道,,,,yunnan,,,,,,通站收费站,YUN_NAN,102.531361,24.350123
S0241530010040,科技园,yunnan,101.5166,25.1332,科技园,科技园收费站,1.31346,0.16292,yunnan,2110015249.0,科技园,102.83006,24.97028,yunnan,科技园收费站,YUN_NAN,102.830027,24.970175
G5615530010010,红龙厂,yunnan,102.059524,23.789234,红龙厂,,,,yunnan,,,,,,红龙厂收费站,YUN_NAN,102.06103900000001,23.786834
G0005530020040,元谋,yunnan,101.920622,25.719089999999998,元谋,元谋收费站,0.066912,0.0028399999999999996,yunnan,2110015652.0,元谋,101.85370999999999,25.71625,yunnan,元谋收费站,YUN_NAN,101.85368100000001,25.716099
G1516320030020,宿扬苏皖省界,jiangsu,118.116646,33.527496,宿扬苏皖省界,,,,jiangsu,,,,,,宿扬苏皖省界收费站,JIANG_SU,118.11656,33.531871
S0014440060090,新民,guangdong,110.19408100000001,21.530632999999998,新民,,,,guangdong,,,,,,新民收费站,GUANG_DONG,110.193997,21.530619
G0078440060030,船塘东,guangdong,114.951948,24.153525,船塘东,,,,guangdong,,,,,,船塘东收费站,GUANG_DONG,114.941305,24.147351999999998
G1523440010060,归湖,guangdong,116.66476100000001,23.751516,归湖,,,,guangdong,,,,,,归湖收费站,GUANG_DONG,116.59505800000001,23.748063000000002
S0086140680020,阳城北,shanxi,112.397273,35.529801,阳城北,阳城北收费站,0.006207,0.00043099999999999996,shanxi,2110024857.0,阳城北,112.40348,35.52937,shanxi,阳城北收费站,SHAN_XI,112.40349599999999,35.529453000000004
S0045140210010,陈家庄,shanxi,113.388393,38.581153,陈家庄,,,,shanxi,,,,,,陈家庄收费站,SHAN_XI,113.395431,38.581941
G0005140390030,清徐,shanxi,112.317912,37.624522,清徐,清徐收费站,0.006648,0.000688,shanxi,2110025129.0,清徐,112.32456,37.625209999999996,shanxi,清徐收费站,SHAN_XI,112.324603,37.625274
S0050140300020,西凌井,shanxi,112.40794299999999,38.143407,西凌井,西凌井收费站,0.005447,0.0020629999999999997,shanxi,2110025265.0,西凌井,112.41338999999999,38.14547,shanxi,西凌井收费站,SHAN_XI,112.413308,38.145531
G0055140040020,新荣,shanxi,113.10469099999999,40.185916,新荣,新荣收费站,0.08177899999999999,0.131614,shanxi,2110025259.0,新荣,113.18647,40.31753,shanxi,新荣收费站,SHAN_XI,113.186457,40.317378000000005
G0018140100050,浑源西,shanxi,113.61769199999999,39.662574,浑源西,浑源西收费站,0.006228,0.0014960000000000002,shanxi,2110024942.0,浑源西,113.62392,39.66407,shanxi,浑源西收费站,SHAN_XI,113.623819,39.663582
S0045140020010,峰峪,shanxi,113.59616299999999,39.904838,峰峪,峰峪收费站,3.7e-05,6.2e-05,shanxi,2110025348.0,峰峪,113.5962,39.9049,shanxi,峰峪收费站,SHAN_XI,113.59613999999999,39.904764
G0005140520090,土门,shanxi,111.506899,36.198415000000004,土门,土门收费站,8.401705,1.439767,shanxi,2110025194.0,土门,111.50684,36.19846,shanxi,土门收费站,SHAN_XI,111.506837,36.198419
S0075140680020,东镇,shanxi,111.30151000000001,35.445570000000004,东镇,东镇收费站,0.00611,0.00021,shanxi,2110024998.0,东镇,111.30762,35.44536,shanxi,东镇收费站,SHAN_XI,111.307667,35.445223999999996
S0087140750120,永济5,shanxi,110.433475,34.895681,永济5,,,,shanxi,,,,,,永济收费站,SHAN_XI,110.43909599999999,34.894825
G0020140400040,杏花,shanxi,111.89716399999999,37.350981,杏花,杏花收费站,0.0066040000000000005,0.005741,shanxi,2110025274.0,杏花,111.89056000000001,37.345240000000004,shanxi,杏花收费站,SHAN_XI,111.890569,37.345267
G0020140400050,汾阳,shanxi,111.800503,37.308515,汾阳,汾阳收费站,0.006663,0.005605,shanxi,2110025152.0,汾阳,111.79383999999999,37.30291,shanxi,汾阳收费站,SHAN_XI,111.793884,37.307054
G0020140420030,军渡,shanxi,110.71223799999999,37.446471,军渡,军渡收费站,0.006318,0.005691,shanxi,2110002235.0,军渡,110.70591999999999,37.44078,shanxi,军渡收费站,SHAN_XI,110.705726,37.440816999999996
G0050340010050,宣城东,anhui,118.4846,30.5654,宣城东,宣城东收费站,0.33762,0.38075,anhui,2110042184.0,宣城东,118.82222,30.94615,anhui,宣城东收费站,AN_HUI,118.822232,30.945788
G003W340010020,涡阳东,anhui,116.365678,33.408258000000004,涡阳东,,,,anhui,,,,,,涡阳东收费站,AN_HUI,116.359055,33.401579999999996
S0006340020030,铁佛,anhui,116.463283,33.763615,铁佛,,,,anhui,,,,,,铁佛收费站,AN_HUI,116.456868,33.758049
G0005610010010,禹门口,shaanxi,109.86321299999999,34.973478,禹门口,,,,shaanxi,,,,,,禹门口收费站,SHAAN_XI,110.534975,35.576871000000004
G0005610010030,韩城,shaanxi,110.46690600000001,35.477445,韩城,,,,shaanxi,,,,,,韩城收费站,SHAAN_XI,110.47243300000001,35.477234
G0020610020050,杨桥畔,shaanxi,108.59535600000001,37.364213,杨桥畔,,,,shaanxi,,,,,,杨桥畔收费站,SHAAN_XI,109.00258899999999,37.612593
G0005610010070,孙镇,shaanxi,109.75737099999999,34.938438,孙镇,,,,shaanxi,,,,,,孙镇收费站,SHAAN_XI,109.76285700000001,34.937565
