ID,STATION_NAME,PROVINCE,slng,slat,statName交易,statName地图,经度差,纬度差,provName,id,statName,lng_x,lat_x,prov,Name,Province,lng_y,lat_y,STATION_ID,STATION_Name,STATION_PRO,STATION_TYPE,STATION_LNG,STATION_LAT,DATA_FROM_SOURCE
G0045360680060,赣定路龙南,jiangxi,,,赣定路龙南,,,,jiangxi,,,,,,龙南收费站,JIANG_XI,114.80754,24.861996,G0045360680060,赣定路龙南,jiangxi,RAMP_PLAZA,114.80754,24.861996,0
G0060360060010,昌樟路昌西南,jiangxi,,,昌樟路昌西南,,,,jiangxi,,,,,,昌西南收费站,JIANG_XI,115.763865,28.562103000000004,G0060360060010,昌樟路昌西南,jiangxi,MAIN_LINE_PLAZA,115.763865,28.562103000000004,0
G0035360070120,景鹰路景德镇南,jiangxi,,,景鹰路景德镇南,,,,jiangxi,,,,,,景德镇南收费站,JIANG_XI,117.079415,29.243814,G0035360070120,景鹰路景德镇南,jiangxi,RAMP_PLAZA,117.079415,29.243814,0
G0035360120010,鹰瑞路南段石城北,jiangxi,,,鹰瑞路南段石城北,,,,jiangxi,,,,,,石城北收费站,JIANG_XI,116.305367,26.444488,G0035360120010,鹰瑞路南段石城北,jiangxi,RAMP_PLAZA,116.305367,26.444488,0
G0075620020030,渭源,gansu,104.27506,35.133342,渭源,,,,gansu,,,,,,渭源收费站,GAN_SU,104.277065,35.13198,G0075620020030,渭源,gansu,RAMP_PLAZA,104.277065,35.13198,0
G0030410050050,灵宝,henan,,,灵宝,灵宝收费站,,,henan,2110022589.0,灵宝收费站,110.92559,34.64956,henan,灵宝收费站,HE_NAN,110.92582,34.64949,G0030410050050,灵宝,henan,RAMP_PLAZA,110.92582,34.64949,0
G0045410120030,大广豫鄂界,henan,,,大广豫鄂界,,,,henan,,,,,,大广豫鄂界收费站,HE_NAN,114.889911,31.527318,G0045410120030,大广豫鄂界,henan,PROVINCE_STATION_INDEPENDENT,114.889911,31.527318,0
S0042340010010,休宁,anhui,118.0,30.0,休宁,休宁收费站,0.08827,0.23916,anhui,2110055217.0,休宁收费站,118.08827,29.76084,anhui,休宁收费站,AN_HUI,118.08809,29.760735,S0042340010010,休宁,anhui,RAMP_PLAZA,118.08809,29.760735,0
G0050340060010,九华山北,anhui,117.3946,30.4044,九华山北,,,,anhui,,,,,,九华山收费站,AN_HUI,117.662784,30.679128,G0050340060010,九华山北,anhui,MAIN_LINE_PLAZA,117.662784,30.679128,0
S0038340010010,皖赣香隅,anhui,116.4814,30.1,皖赣香隅,,,,anhui,,,,,,皖赣香隅主线收费站,AN_HUI,116.810377,30.014462,S0038340010010,皖赣香隅,anhui,PROVINCE_STATION_INDEPENDENT,116.810377,30.014462,0
G0030340010030,萧县南,anhui,116.85968,34.090458,萧县南,萧县南收费站,0.00535,0.001468,anhui,2110029545.0,萧县南收费站,116.86503,34.08899,anhui,萧县南收费站,AN_HUI,116.864893,34.088822,G0030340010030,萧县南,anhui,RAMP_PLAZA,116.864893,34.088822,0
G0040340010020,全椒,anhui,118.288727,32.11714,全椒,全椒收费站,7.3e-05,0.00011,anhui,2110029524.0,全椒收费站,118.2888,32.11725,anhui,全椒收费站,AN_HUI,118.288785,32.117163,G0040340010020,全椒,anhui,RAMP_PLAZA,118.288785,32.117163,0
G0030650020010,吐鲁番,xinjiang,89.113259,42.998046,吐鲁番,吐鲁番收费站,0.002301,0.001914,xinjiang,2110006476.0,吐鲁番收费站,89.11556,42.99996,xinjiang,吐鲁番收费站,XIN_JIANG,89.115798,42.999899,G0030650020010,吐鲁番,xinjiang,MAIN_LINE_PLAZA,89.115798,42.999899,0
S0062520030010,平塘东,guizhou,,,平塘东,,,,guizhou,,,,,,平塘东收费站,GUI_ZHOU,107.333939,25.844892,S0062520030010,平塘东,guizhou,RAMP_PLAZA,107.333939,25.844892,0
G0055140460050,金村,shanxi,112.928602,35.53870300000001,金村,金村收费站,0.006148,0.000563,shanxi,2110024973.0,金村收费站,112.93475,35.53814000000001,shanxi,金村收费站,SHAN_XI,112.934734,35.53846400000001,G0055140460050,金村,shanxi,RAMP_PLAZA,112.934734,35.53846400000001,0
S0080140630040,端氏,shanxi,112.541312,35.695605,端氏,,,,shanxi,,,,,,端氏收费站,SHAN_XI,112.540985,35.69586500000001,S0080140630040,端氏,shanxi,RAMP_PLAZA,112.540985,35.69586500000001,0
G2516140500040,平遥南,shanxi,112.184722,37.107222,平遥南,平遥南收费站,0.005961999999999999,0.002472,shanxi,2110044256.0,平遥南收费站,112.17876,37.10475,shanxi,平遥南收费站,SHAN_XI,112.178759,37.104757,G2516140500040,平遥南,shanxi,RAMP_PLAZA,112.178759,37.104757,0
G2516140480020,和顺东,shanxi,113.665248,37.124579,和顺东,,,,shanxi,,,,,,和顺东收费站,SHAN_XI,113.671823,37.124892,G2516140480020,和顺东,shanxi,RAMP_PLAZA,113.671823,37.124892,0
G0035440020110,园洲,guangdong,113.971181,23.185629,园洲,,,,guangdong,,,,,,园洲收费站,GUANG_DONG,113.976039,23.183419,G0035440020110,园洲,guangdong,RAMP_PLAZA,113.976039,23.183419,0
S0004440010010,太和,guangdong,113.367877,23.272967,太和,,,,guangdong,,,,,,太和收费站,GUANG_DONG,113.370826,23.274001,S0004440010010,太和,guangdong,RAMP_PLAZA,113.370826,23.274001,0
G0004440010060,乳源,guangdong,113.174215,24.470153,乳源,乳源收费站,0.126235,0.310937,guangdong,2110039458.0,乳源收费站,113.30045,24.78109,guangdong,乳源收费站,GUANG_DONG,113.300726,24.781093,G0004440010060,乳源,guangdong,RAMP_PLAZA,113.300726,24.781093,0
S0051440020030,岗美,guangdong,111.780753,22.047213,岗美,岗美收费站,0.005167000000000001,0.002853,guangdong,2110038803.0,岗美收费站,111.78592,22.04436,guangdong,岗美收费站,GUANG_DONG,111.786035,22.044278,S0051440020030,岗美,guangdong,RAMP_PLAZA,111.786035,22.044278,0
S0012440020040,丙村,guangdong,116.275571,24.347927,丙村,丙村收费站,0.0047090000000000005,0.002967,guangdong,2110056931.0,丙村收费站,116.28028,24.34496,guangdong,丙村收费站,GUANG_DONG,116.280349,24.344899,S0012440020040,丙村,guangdong,RAMP_PLAZA,116.280349,24.344899,0
S0014440010050,水墩,guangdong,115.404839,23.587517,水墩,,,,guangdong,,,,,,水墩收费站,GUANG_DONG,115.40942,23.585,S0014440010050,水墩,guangdong,RAMP_PLAZA,115.40942,23.585,0
G0015440040110,龙岗主,guangdong,114.35111100000002,22.541428,龙岗主,,,,guangdong,,,,,,龙岗收费站,GUANG_DONG,114.210397,22.678507,G0015440040110,龙岗主,guangdong,MAIN_LINE_PLAZA,114.210397,22.678507,0
S0014440010100,义容,guangdong,114.852437,23.501877,义容,,,,guangdong,,,,,,义容收费站,GUANG_DONG,114.857089,23.49933,S0014440010100,义容,guangdong,RAMP_PLAZA,114.857089,23.49933,0
G0030610030020,咸阳南,shaanxi,108.401783,34.151046,咸阳南,,,,shaanxi,,,,,,咸阳南收费站,SHAAN_XI,108.67636,34.251273,G0030610030020,咸阳南,shaanxi,RAMP_PLAZA,108.67636,34.251273,0
G0022620030060,四十里铺,gansu,106.88516,35.466337,四十里铺,四十里铺收费站,0.00413,0.000967,gansu,2110025787.0,四十里铺收费站,106.88929,35.46537,gansu,四十里铺收费站,GAN_SU,106.889457,35.46524,G0022620030060,四十里铺,gansu,RAMP_PLAZA,106.889457,35.46524,0
G0045410080030,正阳岳城,henan,,,正阳岳城,,,,henan,,,,,,正阳岳城收费站,HE_NAN,114.859667,32.636028,G0045410080030,正阳岳城,henan,RAMP_PLAZA,114.859667,32.636028,0
G3511410020020,延津,henan,,,延津,延津收费站,,,henan,2110022969.0,延津收费站,114.23386,35.26696,henan,延津收费站,HE_NAN,114.233783,35.266786,G3511410020020,延津,henan,RAMP_PLAZA,114.233783,35.266786,0
S0049410070040,舞钢南,henan,,,舞钢南,舞钢南收费站,,,henan,2110022449.0,舞钢南收费站,113.44576,33.24474,henan,舞钢南收费站,HE_NAN,113.44576,33.244605,S0049410070040,舞钢南,henan,RAMP_PLAZA,113.44576,33.244605,0
G0030410010020,芒砀山,henan,,,芒砀山,芒砀山收费站,,,henan,2110022505.0,芒砀山收费站,116.4775,34.15585,henan,芒砀山收费站,HE_NAN,116.477504,34.155958,G0030410010020,芒砀山,henan,RAMP_PLAZA,116.477504,34.155958,0
G0030410030100,上街,henan,,,上街,上街收费站,,,henan,2110022818.0,上街收费站,113.25095,34.847,henan,上街收费站,HE_NAN,113.253679,34.850390999999995,G0030410030100,上街,henan,RAMP_PLAZA,113.253679,34.850390999999995,0
G0030410040020,孟津,henan,,,孟津,孟津收费站,,,henan,2110022689.0,孟津收费站,112.64052,34.780120000000004,henan,孟津收费站,HE_NAN,112.640598,34.780031,G0030410040020,孟津,henan,RAMP_PLAZA,112.640598,34.780031,0
S0022340020010,含山南,anhui,118.0825,31.657778000000004,含山南,含山南收费站,0.00584,0.001888,anhui,2110057554.0,含山南收费站,118.08834,31.655890000000007,anhui,含山南收费站,AN_HUI,118.088227,31.655896,S0022340020010,含山南,anhui,RAMP_PLAZA,118.088227,31.655896,0
G0005610050060,汉中,shaanxi,106.594872,33.012808,汉中,,,,shaanxi,,,,,,汉中收费站,SHAAN_XI,107.001269,33.022478,G0005610050060,汉中,shaanxi,RAMP_PLAZA,107.001269,33.022478,0
G0030610030030,三桥,shaanxi,108.475705,34.18148,三桥,,,,shaanxi,,,,,,三桥收费站,SHAAN_XI,108.803875,34.29933,G0030610030030,三桥,shaanxi,RAMP_PLAZA,108.803875,34.29933,0
G0065610050010,安塞北,shaanxi,109.32426,36.893541,安塞北,,,,shaanxi,,,,,,安塞北收费站,SHAAN_XI,109.318107,36.887117,G0065610050010,安塞北,shaanxi,RAMP_PLAZA,109.318107,36.887117,0
G0065610030050,天赐湾,shaanxi,108.561201,37.192601,天赐湾,,,,shaanxi,,,,,,天赐湾收费站,SHAAN_XI,108.936866,37.32399,G0065610030050,天赐湾,shaanxi,RAMP_PLAZA,108.936866,37.32399,0
G0069610010070,土桥,shaanxi,108.430781,34.981056,土桥,,,,shaanxi,,,,,,土桥收费站,SHAAN_XI,108.436226,34.980492,G0069610010070,土桥,shaanxi,RAMP_PLAZA,108.436226,34.980492,0
G0065610080070,泾河,shaanxi,108.985855,34.482213,泾河,,,,shaanxi,,,,,,泾河收费站,SHAAN_XI,108.986126,34.482127,G0065610080070,泾河,shaanxi,RAMP_PLAZA,108.986126,34.482127,0
G0065610080090,西安北,shaanxi,108.973832,34.495441,西安北,,,,shaanxi,,,,,,西安北收费站,SHAAN_XI,108.974531,34.494459,G0065610080090,西安北,shaanxi,MAIN_LINE_PLAZA,108.974531,34.494459,0
G0512510010020,成乐彭山,sichuan,,,成乐彭山,,,,sichuan,,,,,,彭山收费站,SI_CHUAN,103.852603,30.209628,G0512510010020,成乐彭山,sichuan,RAMP_PLAZA,103.852603,30.209628,0
G0512510010080,成乐乐山,sichuan,,,成乐乐山,,,,sichuan,,,,,,乐山收费站,SI_CHUAN,103.703624,29.584818,G0512510010080,成乐乐山,sichuan,RAMP_PLAZA,103.703624,29.584818,0
G0005510070060,泸黄西木,sichuan,,,泸黄西木,,,,sichuan,,,,,,西木收费站,SI_CHUAN,102.188723,27.744083000000003,G0005510070060,泸黄西木,sichuan,RAMP_PLAZA,102.188723,27.744083000000003,0
G0005510060030,雅泸龙苍沟,sichuan,,,雅泸龙苍沟,,,,sichuan,,,,,,龙苍沟收费站,SI_CHUAN,102.838756,29.701767,G0005510060030,雅泸龙苍沟,sichuan,RAMP_PLAZA,102.838756,29.701767,0
G0080530020010,阿三龙,yunnan,103.646235,23.804798,阿三龙,阿三龙收费站,0.001905,0.002918,yunnan,2110015625.0,阿三龙收费站,103.64814,23.80188,yunnan,阿三龙收费站,YUN_NAN,103.648218,23.801948,G0080530020010,阿三龙,yunnan,RAMP_PLAZA,103.648218,23.801948,0
