"ID","STATION_NAME","PROVINCE","slng","slat"
"G0050420050040","贺家坪","hubei",,
"G5012420010010","利川西","hubei",,
"G0055420040010","荆州桥北","hubei",,
"G0055420060010","荆州南","hubei",,
"G0056420010070","通山","hubei",,
"G0059420020030","房县","hubei",,
"G0059420030010","歇马","hubei",,
"G0059420050020","白洋","hubei",,
"G0070420060010","隆中","hubei",,
"S0033420010040","桂花","hubei",,
"G5012500010010","开州","chongqing","108.403858","31.158570"
"G5012500020030","南雅","chongqing","108.129355","31.073892"
"S0101500050040","夏坝","chongqing","106.496000","29.097000"
"S0015520010010","两河口主线","guizhou",,
"S0081520010050","李子垭","guizhou",,
"S0002520010020","团泽","guizhou",,
"G0060520060100","刘官","guizhou",,
"G6001520030030","上麦","guizhou",,
"G0075520020020","马家湾","guizhou",,
"G0075520020040","三合","guizhou",,
"G0075520020050","乌江","guizhou",,
"G0078520010040","兴义东","guizhou",,
"G0060520010010","大龙主道","guizhou",,
"S0025520020080","羊场","guizhou",,
"S0088520020020","麻尾东","guizhou",,
"S0062520020020","青曼","guizhou",,
"G0056520040090","六盘水南","guizhou",,
"G7612520010020","大厂","guizhou",,
"G0056520040010","朱昌","guizhou",,
"G0060520060030","关岭","guizhou",,
"G0075520020060","小寨坝","guizhou",,
"G0069520060050","罗甸","guizhou",,
"G0020140370040","寿阳","shanxi","113.163994","37.876299"
"S0086360620030","宁定路定南段定南东","jiangxi",,
"G0612630010010","曹家堡西","qinghai",,
"S0027150010100","宝昌北","neimenggu",,
"G0015440030090","海门","guangdong","116.623013","23.212486"
"G0094440030030","杜阮","guangdong","113.032592","22.584989"
"S0081440010040","北环广园","guangdong","113.267938","23.160901"
"G04W3440011020","乌石","guangdong","113.580953","24.606324"
"G0075620040080","余家湾","gansu","105.415851","32.775881"
"G1816620010040","临夏","gansu","103.231862","35.560772"
"G1816620020020","王格尔塘","gansu","102.816594","35.219757"
"G7011620010020","徽县","gansu","106.007388","33.749039"
"G0030410030070","西三环北","henan",,
"S0060410040010","富航路","henan",,
"G0001210050030","锦州东","liaoning","121.210063","41.033977"
"G0091210030010","公主屯","liaoning","123.022203","42.135516"
"G0010150020010","牙克石西","neimenggu",,
"S0040150010010","哈克西","neimenggu",,
"G04W2440010010","凤头岭","guangdong","113.021396","23.653532"
"G0094440030010","龙湾","guangdong","113.060391","22.562166"
"G0094440060020","梅林","guangdong","114.044415","22.608011"
"S0033440010030","洲石北","guangdong","113.888661","22.675837"
"G0025440070050","新墟","guangdong","114.348751","22.852905"
"G0094440080020","石头","guangdong","113.772641","23.182263"
"G04W2440010070","水足塘","guangdong","113.193555","23.336832"
"G04W3440011010","白土","guangdong","113.484053","24.684064"
"S0005440020030","罗格","guangdong","113.006845","22.993697"
"G0085510570160","巴广渝四川广安","sichuan",,
"G0007620010030","马鬃山南","gansu","97.060741","41.853934"
"G0076350010010","海沧","fujian",,
"S1516350010010","厦漳大桥","fujian",,
"G0003350010100","徐墩","fujian",,
"S1516350010030","海门岛","fujian",,
"G4012350010020","寿宁犀溪","fujian",,
"G1502350010010","台商区张坂","fujian",,
"G1502350030050","惠东","fujian",,
"G0025350040100","吴山","fujian",,
"G0091210020030","新民","liaoning","122.856207","41.952240"
"G2511210010020","章古台","liaoning","122.504108","42.705792"
"S0026210010010","建昌","liaoning","119.870610","40.845217"
"G4201510010070","绕东机场","sichuan",,
"S0001510020060","成绵复新市","sichuan",,
"G0004130010110","清苑","hebei","115.455929","38.743232"
"S9902130010030","正定","hebei","114.352023","38.092881"
"G0015440050030","龙岗","guangdong",,
"G1011230010030","富锦东","heilongjiang","132.126566","47.280176"
"G0010230020060","机场路","heilongjiang","125.119153","46.135138"
"G0002320010040","沭阳北","jiangsu","118.758812","34.191284"
"G0025320020060","灌南","jiangsu","119.273420","34.099054"
"G0025320060010","竹镇","jiangsu","118.721914","32.531075"
"G0030320010020","平明","jiangsu","118.952698","34.503895"
"G015W320010040","阳澄湖","jiangsu","120.730431","31.475236"
"G015W320020050","黎里","jiangsu","120.673573","31.005583"
"G2501320020030","四桥主线","jiangsu","118.950476","32.217356"
"G2513320030040","徐州机场","jiangsu","118.172738","33.903047"
"S0049320030010","盱眙","jiangsu","118.579191","33.009905"
"S0068320010030","溧芜苏皖省界","jiangsu","118.863330","31.349720"
"G0072430020180","神龙谷","hunan",,
"G5615530030070","文山东","yunnan","104.229854","23.432940"
"G0015310020030","G15曹安公路","shanghai","121.241560","31.270580"
"G1501310020010","G1501高东","shanghai","121.667253","31.305482"
"G5013500010020","璧山","chongqing","106.228651","29.632290"
"S0062520010040","凯里黄平机场","guizhou",,
"G0069520060040","罗甸北","guizhou",,
