statName交易,statName地图,经度差,纬度差,provName
回龙,回龙收费站,,,fujian
廛河,,,,henan
寨根,,,,henan
嵩栾旧县,,,,henan
黄城,黄城收费站,,,shandong
烟台机场,烟台机场收费站,,,shandong
阳河,阳河收费站,,,shandong
集贤,集贤收费站,,,shandong
海阳,海阳收费站,,,shandong
临清,,,,shandong
枣庄新城,枣庄新城收费站,,,shandong
铁山,,,,shandong
菏泽新北,菏泽新北收费站,,,shandong
保阜高速顺平南,,,,hebei
保阜高速阜平东,,,,hebei
徐水,徐水收费站,0.000014,0.000009,hebei
保定北,保定北收费站,0.174905,0.127341,hebei
北屯工业园区匝道（丰庆湖）,,,,xinjiang
桐梓,桐梓收费站,,,guizhou
遵义南,遵义南收费站,,,guizhou
兴仁北,兴仁北收费站,,,guizhou
马场坪,马场坪收费站,,,guizhou
凯里南,凯里南收费站,,,guizhou
瓦盆窑,瓦盆窑收费站,0.006062,0.001873,heilongjiang
兴凯湖,,,,heilongjiang
胜利,胜利收费站,0.006458,0.002228,heilongjiang
沙门子,沙门子收费站,0.003094,0.000994,xinjiang
布龙,布龙收费站,0.005653,0.005738,guangdong
乐村坪,乐村坪收费站,0.024927,0.05809,guangdong
源潭,,,,guangdong
蓝塘,,,,guangdong
大溪,,,,guangdong
曹江,,,,guangdong
南山,,,,guangdong
睦州,,,,guangdong
赤石,,,,guangdong
杏花营,杏花营收费站,,,henan
鄢陵西,,,,henan
邵阳东,邵阳东收费站,,,hunan
南江,南江收费站,,,hunan
安定,安定收费站,,,hunan
雅康新沟,,,,sichuan
永川西,永川西收费站,0.006332,0.006172,chongqing
盐田,盐田收费站,0.07725,0.001582,guangdong
钟落潭,,,,guangdong
宜阳,宜阳收费站,,,henan
尉氏北,,,,henan
宣化东,宣化东收费站,0.006745,0.001631,hebei
运河西,运河西收费站,0.456862,0.08659,hebei
漳河店,漳河店收费站,0.005083,0.000198,hebei
渝荣,渝荣收费站,0.000024,0.000011,chongqing
洛碛,洛碛收费站,0.007323,0.003696,chongqing
长水,长水收费站,,,henan
构林,构林收费站,,,henan
项城西,项城西收费站,,,henan
下汤,下汤收费站,,,henan
南宁南,,,,guangxi
洛东,洛东收费站,0.004031,0.003108,guangxi
西燕,,,,guangxi
贺街,贺街收费站,0.00503,0.002825,guangxi
天河机场,,,,hubei
普定,普定收费站,,,guizhou
泰赣路汤村,,,,jiangxi
兴业,,,,guangdong
天津空港,,,,beijing
塘沽,,,,beijing
北庄头,,,,beijing
南张岱,南张岱收费站,0.010311,0.002651,beijing
永乐,永乐收费站,0.024621,0.010521,beijing
火烧山,火烧山收费站,1.208628,0.767277,xinjiang
修文,修文收费站,,,guizhou
程各庄,程各庄收费站,0.006283,0.001379,beijing
京承主,,,,beijing
金钟路,,,,beijing
岔道城,,,,beijing
窦店,窦店收费站,0.006973,0.00115,beijing
佃子,,,,beijing
沙河,沙河收费站,0.005991,0.00129,beijing
柘城北,柘城北收费站,,,henan
光辉,光辉收费站,0.005165,0.001915,liaoning
